tokens,segmenter_one,segmenter_two,segmenter_three
aaba,a-b-a,a-b-a,a-b-a
aababuka,a-babuk-a,a-babuk-a,a-babuk-a
aabamba,a-bamb-a,a-bamb-a,a-bamb-a
aabangela,a-bangel-a,a-bangel-a,a-bangel-a
aabekezelela,a-bekezelel-a,a-bekezelel-a,a-bekezelel-a
aabezwa,a-bezw-a,a-bezw-a,a-bezw-a
aabhala,a-bhal-a,a-bhal-a,a-bhal-a
aabhalwa,a-bhalw-a,a-bhalw-a,a-bhalw-a
aabheka,a-bhek-a,a-bhek-a,a-bhek-a
aabona,a-bon-a,a-bon-a,la-wo
aabonakala,a-bonakal-a,a-bonakal-a,a-bonakal-a
aabonisa,a-bonis-a,a-bonis-a,a-bonis-a
aabopha,a-boph-a,a-boph-a,a-boph-a
aabulala,a-bulal-a,a-bulal-a,a-bulal-a
aabusa,a-bus-a,a-bus-a,a-bus-a
aacabanga,a-cabang-a,a-cabang-a,a-cabang-a
aachitha,a-chith-a,a-chith-a,a-chith-a
aacindezela,a-cindezel-a,a-cindezel-a,a-cindezel-a
aadalwa,a-dalw-a,a-dalw-a,a-dalw-a
aadedelwa,a-dedelw-a,a-dedelw-a,a-dedelw-a
aadiliza,a-diliz-a,a-diliz-a,a-diliz-a
aadinga,a-ding-a,a-ding-a,a-ding-a
aadla,a-dl-a,a-dl-a,a-dl-a
aadlala,a-dlal-a,a-dlal-a,a-dlal-a
aadonsa,a-dons-a,a-dons-a,a-dons-a
aadonsela,a-donsel-a,a-donsel-a,a-donsel-a
aafa,a-f-a,a-f-a,a-f-a
aafeza,a-fez-a,a-fez-a,injongo
aafisa,a-fis-a,a-fis-a,a-fis-a
aafuna,a-fun-a,a-fun-a,a-fun-a
aafundisa,a-fundis-a,a-fundis-a,a-fundis-a
aagcina,a-gcin-a,a-gcin-a,a-gcin-a
aagcwalisa,a-gcwalis-a,a-gcwalis-a,a-gcwalis-a
aahamba,a-hamb-a,a-hamb-a,a-hamb-a
aahaqa,a-haq-a,a-haq-a,a-haq-a
aahlala,a-hlal-a,a-hlal-a,a-hlal-a
aahlanganisa,a-hlanganis-a,a-hlanganis-a,isikhutha
aahlasela,a-hlasel-a,a-hlasel-a,a-hlasel-a
aajabulela,a-jabulel-a,a-jabulel-a,a-jabulel-a
aajoyina,a-joyin-a,a-joyin-a,a-joyin-a
aakhetha,a-kheth-a,a-kheth-a,a-kheth-a
aakhohlwa,a-khohlw-a,a-khohlw-a,a-khohlw-a
aakhonza,a-khonz-a,a-khonz-a,a-khonz-a
aakhulisa,a-khulis-a,a-khulis-a,a-khulis-a
aakhuluma,a-khulum-a,a-khulum-a,a-khulum-a
aakhulunywa,a-khulunyw-a,a-khulunyw-a,a-khulunyw-a
aakhumbula,a-khumbul-a,a-khumbul-a,a-khumbul-a
aakhumbuza,a-khumbuz-a,a-khumbuz-a,a-khumbuz-a
aakhushulwa,a-khushulw-a,a-khushulw-a,a-khushulw-a
aakhuthaza,a-khuthaz-a,a-khuthaz-a,a-khuthaz-a
aalahla,a-lahl-a,a-lahl-a,a-lahl-a
aalahlekelwa,a-lahlekelw-a,a-lahlekelw-a,a-lahlekelw-a
aalahlwa,a-lahlw-a,a-lahlw-a,a-lahlw-a
aalalela,a-lalel-a,a-lalel-a,a-lalel-a
aalandela,a-landel-a,a-landel-a,a-landel-a
aalandisa,a-landis-a,a-landis-a,a-landis-a
aaletha,a-leth-a,a-leth-a,a-leth-a
aalondoloza,a-londoloz-a,a-londoloz-a,a-londoloz-a
aalwela,a-lwel-a,a-lwel-a,a-lwel-a
aamanda,a-mand-a,a-mand-a,a-mand-a
aamasha,a-mash-a,a-mash-a,a-mash-a
aamelelwa,a-melelw-a,a-melelw-a,a-melelw-a
aangcolisa,a-ngcolis-a,a-ngcolis-a,a-ngcolis-a
aanikela,a-nikel-a,a-nikel-a,a-nikel-a
aanikeza,a-nikez-a,a-nikez-a,a-nikez-a
aanikezwa,a-nikezw-a,a-nikezw-a,a-nikezw-a
aanquma,a-nqum-a,a-nqum-a,a-nqum-a
aanyatheliswa,a-nyathelisw-a,a-nyathelisw-a,a-nyathelisw-a
aaphakamisa,a-phakamis-a,a-phakamis-a,a-phakamis-a
aaphanga,a-phang-a,a-phang-a,a-phang-a
aaphawula,a-phawul-a,a-phawul-a,a-phawul-a
aaphihliza,a-phihliz-a,a-phihliz-a,a-phihliz-a
aaphilela,a-philel-a,a-philel-a,a-philel-a
aaphuma,a-phum-a,a-phum-a,a-phum-a
aaphunga,a-phung-a,a-phung-a,a-phung-a
aaqala,a-qala,a-qala,a-qala
aaqaphela,a-qaphel-a,a-qaphel-a,a-qaphel-a
aaqhuba,a-qhub-a,a-qhub-a,a-qhub-a
aaqinisa,a-qinis-a,a-qinis-a,a-qinis-a
aaqopha,a-qoph-a,a-qoph-a,a-qoph-a
aasa,a-s-a,a-s-a,a-s-a
aasanganisa,a-sanganis-a,a-sanganis-a,a-sanganis-a
aasebenzisa,a-sebenzis-a,a-sebenzis-a,a-sebenzis-a
aasekela,a-sekel-a,a-sekel-a,a-sekel-a
aasekelwa,a-sekelw-a,a-sekelw-a,a-sekelw-a
aasheshisa,a-sheshis-a,a-sheshis-a,isimiso
aashiswa,a-shisw-a,a-shisw-a,a-shisw-a
aashiya,a-shiy-a,a-shiy-a,a-shiy-a
aashiyela,a-shiyel-a,a-shiyel-a,a-shiyel-a
aashiywa,a-shiyw-a,a-shiyw-a,a-shiyw-a
aashukumisa,a-shukumis-a,a-shukumis-a,a-shukumis-a
aasibekela,a-sibekel-a,a-sibekel-a,a-sibekel-a
aasiza,a-siz-a,a-siz-a,a-siz-a
aathandwa,a-thandw-a,a-thandw-a,a-thandw-a
aathatha,a-thath-a,a-thath-a,a-thath-a
aathathelwa,a-thathelw-a,a-thathelw-a,a-thathelw-a
aathembisa,a-thembis-a,a-thembis-a,a-thembis-a
aathola,a-thol-a,a-thol-a,a-thol-a
aathumela,a-thumel-a,a-thumel-a,a-thumel-a
aathuthukisa,a-thuthukis-a,a-thuthukis-a,a-thuthukis-a
aaveza,a-vez-a,a-vez-a,a-vez-a
aavikela,a-vikel-a,a-vikel-a,a-vikel-a
aavimbela,a-vimbel-a,a-vimbel-a,a-vimbel-a
aavuma,a-vum-a,a-vum-a,a-vum-a
aavumela,a-vumel-a,a-vumel-a,a-vumel-a
aayala,a-yal-a,a-yal-a,a-yal-a
aayaluzisa,a-yaluzis-a,a-yaluzis-a,a-yaluzis-a
aayalwa,a-yalw-a,a-yalw-a,a-yalw-a
aazala,a-zal-a,a-zal-a,a-zal-a
aazama,a-zam-a,a-zam-a,a-zam-a
aazungeza,a-zungez-a,a-zungez-a,a-zungez-a
abahlelwe,aba-hlelw-e,aba-hlelw-e-baba,abahlelw-e
abakusizile,aba-ku-sizil-e,aba-ku-sizil-e-waba,abaku-sizil-e
abakuzo,aba-ku-zo,aba-ku-zo-zonke,abaku-zo
abalulekile,a-balulek-ile,a-balulek-ile,abalulek-ilen-akh-a-yo
abammelelayo,aba-m-melel-a-yo,aba-m-melel-a-yo,abam-melel-a-yo
abammeli,a-ba-m-mel-i,a-ba-m-mel-i,aba-m-mel-i
abanaleli,a-ba-na-leli,a-ba-na-leli-gciwane,abana-leli
abanamaphuzu,a-ba-na-ma-phuzu,a-ba-na-ma-phuzu,abana-maphuzua-suk-a
abanezincwadi,aba-n-e-zincwadi,aba-ne-zincwadi,zo-ku-shayel-a
abangakhulumi,aba-nga-khulum-i,aba-nga-khulum-i,abangakhulum-in-om-a
abangathathi,aba-nga-thath-i,aba-nga-thath-i-hlangothi,abangathath-i
abanini,a-ba-nini,aba-nini-khaya,abanini
abanyathelisi,a-ba-nyathelis-i,a-ba-nyathelis-i-balo,aba-nyathelis-i
abaphathe,aba-phath-e,aba-phath-e,abaphath-ek-eph-a
abaphathi,a-ba-phathi,aba-phathi,be-sikole
abaphikisana,a-ba-phikisan-a,a-ba-phikisan-a-lathi,a-ba-phikisan-a
abaphoqwa,a-ba-phoqw-a,a-ba-phoqw-a,amaqembu
abashaya,a-ba-shay-a,a-ba-shay-a,amakhosikazi
abathinteke,a-ba-thintek-e,a-ba-thintek-e-ngqo,a-ba-thintek-e
abatshela,ab-a-tshel-a,ab-a-tshel-a,aba-tshel-ak-on-a
abayabambisanayo,aba-bambisan-a-yo,aba-bambisan-a-yo,aba-bambisan-a-yo
abayabangisanayo,aba-bangisan-a-yo,aba-bangisan-a-yo,aba-bangisan-a-yo
abayabeleselayo,aba-belesel-a-yo,aba-belesel-a-yo,aba-belesel-a-yo
abayabhemayo,aba-bhem-a-yo,aba-bhem-a-yo,aba-bhem-a-yo
abayabonisanayo,aba-bonisan-a-yo,aba-bonisan-a-yo,aba-bonisan-a-yo
abayabubulayo,aba-bubul-a-yo,aba-bubul-a-yo,aba-bubul-a-yo
abayabulalayo,aba-bulal-a-yo,aba-bulal-a-yo,aba-bulal-a-yo
abayabulawayo,aba-bulaw-a-yo,aba-bulaw-a-yo,aba-bulaw-a-yo
abayabusayo,aba-bus-a-yo,aba-bus-a-yo,aba-bus-a-yo
abayabuswayo,aba-busw-a-yo,aba-busw-a-yo,aba-busw-a-yo
abayabuyayo,aba-buy-a-yo,aba-buy-a-yo,aba-buy-a-yo
abayacabangayo,aba-cabang-a-yo,aba-cabang-a-yo,aba-cabang-a-yo
abayachumayo,aba-chum-a-yo,aba-chum-a-yo,aba-chum-a-yo
abayacindezelayo,aba-cindezel-a-yo,aba-cindezel-a-yo,aba-cindezel-a-yo
abayadakwayo,aba-dakw-a-yo,aba-dakw-a-yo,aba-dakw-a-yo
abayadlayo,aba-dl-a-yo,aba-dl-a-yo,aba-dl-a-yo
abayadlulayo,aba-dlul-a-yo,aba-dlul-a-yo,aba-dlul-a-yo
abayadlwengulayo,aba-dlwengul-a-yo,aba-dlwengul-a-yo,aba-dlwengul-a-yo
abayadukayo,aba-duk-a-yo,aba-duk-a-yo,aba-duk-a-yo
abayadukisayo,aba-dukis-a-yo,aba-dukis-a-yo,aba-dukis-a-yo
abayafanayo,aba-fan-a-yo,aba-fan-a-yo,aba-fan-a-yo
abayafanelekayo,aba-fanelek-a-yo,aba-fanelek-a-yo,aba-fanelek-a-yo
abayafayo,aba-f-a-yo,aba-f-a-yo,aba-f-a-yo
abayafikayo,aba-fik-a-yo,aba-fik-a-yo,aba-fik-a-yo
abayafisayo,aba-fis-a-yo,aba-fis-a-yo,aba-fis-a-yo
abayafudukayo,aba-fuduk-a-yo,aba-fuduk-a-yo,aba-fuduk-a-yo
abayafunayo,aba-fun-a-yo,aba-fun-a-yo,aba-fun-a-yo
abayafundisayo,aba-fundis-a-yo,aba-fundis-a-yo,aba-fundis-a-yo
abayafundisekayo,aba-fundisek-a-yo,aba-fundisek-a-yo,aba-fundisek-a-yo
abayagabadelayo,aba-gabadel-a-yo,aba-gabadel-a-yo,aba-gabadel-a-yo
abayagulayo,aba-gul-a-yo,aba-gul-a-yo,aba-gul-a-yo
abayagxambukelayo,aba-gxambukel-a-yo,aba-gxambukel-a-yo,aba-gxambukel-a-yo
abayahahayo,aba-hah-a-yo,aba-hah-a-yo,aba-hah-a-yo
abayahambayo,aba-hamb-a-yo,aba-hamb-a-yo,aba-hamb-a-yo
abayahlazisayo,aba-hlazis-a-yo,aba-hlazis-a-yo,aba-hlazis-a-yo
abayahlinzayo,aba-hlinz-a-yo,aba-hlinz-a-yo,aba-hlinz-a-yo
abayahlubukayo,aba-hlubuk-a-yo,aba-hlubuk-a-yo,aba-hlubuk-a-yo
abayahluphekayo,aba-hluphek-a-yo,aba-hluphek-a-yo,aba-hluphek-a-yo
abayaholayo,aba-hol-a-yo,aba-hol-a-yo-phakathi,aba-hol-a-yo
abayajabulayo,aba-jabul-a-yo,aba-jabul-a-yo,aba-jabul-a-yo
abayajabulisayo,aba-jabulis-a-yo,aba-jabulis-a-yo,aba-jabulis-a-yo
abayajikelezayo,aba-jikelez-a-yo,aba-jikelez-a-yo,aba-jikelez-a-yo
abayakhalayo,aba-khal-a-yo,aba-khal-a-yo,aba-khal-a-yo
abayakhandlekayo,aba-khandlek-a-yo,aba-khandlek-a-yo-phakathi,aba-khandlek-a-yo
abayakhaphelayo,aba-khaphel-a-yo,aba-khaphel-a-yo,aba-khaphel-a-yo
abayakhethayo,aba-kheth-a-yo,aba-kheth-a-yo,aba-kheth-a-yo
abayakhethwayo,aba-khethw-a-yo,aba-khethw-a-yo,aba-khethw-a-yo
abayakhohlisayo,aba-khohlis-a-yo,aba-khohlis-a-yo,aba-khohlis-a-yo
abayakhokhelwayo,aba-khokhelw-a-yo,aba-khokhelw-a-yo,aba-khokhelw-a-yo
abayakholwayo,aba-kholw-a-yo,aba-kholw-a-yo,aba-kholw-a-yo
abayakhononayo,aba-khonon-a-yo,aba-khonon-a-yo,aba-khonon-a-yo
abayakhonondayo,aba-khonond-a-yo,aba-khonond-a-yo,aba-khonond-a-yo
abayakhonzayo,aba-khonz-a-yo,aba-khonz-a-yo,aba-khonz-a-yo
abayakhulekayo,aba-khulek-a-yo,aba-khulek-a-yo,aba-khulek-a-yo
abayakhulelwayo,aba-khulelw-a-yo,aba-khulelw-a-yo,aba-khulelw-a-yo
